CMDLINE python3 scripts/run.py
MEM 627.390625 1725625962.4398
MEM 627.390625 1725625962.5414
MEM 627.390625 1725625962.6418
MEM 627.390625 1725625962.7453
MEM 627.515625 1725625962.8486
MEM 627.515625 1725625962.9504
MEM 627.515625 1725625963.0507
MEM 627.515625 1725625963.1557
MEM 627.515625 1725625963.2573
MEM 627.640625 1725625963.3577
MEM 627.640625 1725625963.4586
MEM 627.640625 1725625963.5606
MEM 627.640625 1725625963.6626
MEM 627.640625 1725625963.7660
MEM 627.765625 1725625963.8671
MEM 627.765625 1725625963.9696
MEM 627.765625 1725625964.0756
MEM 627.765625 1725625964.1786
MEM 627.765625 1725625964.2796
MEM 627.765625 1725625964.3806
MEM 627.890625 1725625964.4816
MEM 627.890625 1725625964.5826
MEM 627.890625 1725625964.6836
MEM 628.015625 1725625964.7846
MEM 628.640625 1725625964.8856
MEM 629.265625 1725625964.9866
MEM 630.015625 1725625965.0876
MEM 630.265625 1725625965.1886
MEM 630.265625 1725625965.2896
MEM 630.265625 1725625965.3906
MEM 630.265625 1725625965.4916
MEM 630.265625 1725625965.5969
MEM 630.265625 1725625965.6981
MEM 630.265625 1725625965.7986
MEM 630.265625 1725625965.8997
MEM 630.265625 1725625966.0016
MEM 630.265625 1725625966.1026
MEM 630.265625 1725625966.2036
MEM 630.265625 1725625966.3046
MEM 630.265625 1725625966.4056
MEM 630.265625 1725625966.5066
MEM 630.265625 1725625966.6076
MEM 630.265625 1725625966.7086
MEM 630.265625 1725625966.8096
MEM 630.265625 1725625966.9106
MEM 630.265625 1725625967.0116
MEM 630.265625 1725625967.1127
MEM 630.265625 1725625967.2166
MEM 630.265625 1725625967.3168
MEM 630.265625 1725625967.4197
MEM 630.265625 1725625967.5246
MEM 630.265625 1725625967.6266
MEM 630.265625 1725625967.7288
MEM 630.265625 1725625967.8301
MEM 630.265625 1725625967.9326
MEM 630.265625 1725625968.0336
MEM 630.265625 1725625968.1346
MEM 630.957031 1725625968.2356
MEM 630.957031 1725625968.3366
MEM 630.957031 1725625968.4376
MEM 630.957031 1725625968.5386
MEM 630.957031 1725625968.6396
MEM 630.957031 1725625968.7406
MEM 630.957031 1725625968.8416
MEM 630.957031 1725625968.9426
MEM 630.957031 1725625969.0436
MEM 630.957031 1725625969.1446
MEM 630.957031 1725625969.2456
MEM 630.957031 1725625969.3466
MEM 630.957031 1725625969.4477
MEM 630.957031 1725625969.5500
MEM 630.957031 1725625969.6506
MEM 630.957031 1725625969.7526
MEM 630.957031 1725625969.8567
MEM 630.957031 1725625969.9581
MEM 630.957031 1725625970.0621
MEM 630.957031 1725625970.1626
MEM 630.957031 1725625970.2675
MEM 630.957031 1725625970.3700
MEM 630.957031 1725625970.4708
MEM 630.957031 1725625970.5736
MEM 630.957031 1725625970.6746
MEM 630.957031 1725625970.7756
MEM 630.957031 1725625970.8766
MEM 631.332031 1725625970.9776
MEM 632.082031 1725625971.0786
MEM 632.832031 1725625971.1796
MEM 632.437500 1725625971.2806
MEM 632.437500 1725625971.3816
MEM 632.437500 1725625971.4826
MEM 632.437500 1725625971.5836
MEM 632.437500 1725625971.6869
MEM 632.562500 1725625971.7877
MEM 632.562500 1725625971.8911
MEM 632.562500 1725625971.9930
MEM 632.562500 1725625972.0958
MEM 632.562500 1725625972.1968
MEM 632.562500 1725625972.2985
MEM 632.687500 1725625972.3997
MEM 632.687500 1725625972.4998
